rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,True_count,True_percentage,False_count,False_percentage
132,58,28.179400000000005,0.26008307268853775,6.075205320987477,17.123721436225644,0,10,7.0,70.0,3.0,30.0
133,127,28.092699999999997,0.21780131410634618,5.51407239111208,16.001455576474854,0,10,8.0,80.0,2.0,20.0
134,211,28.0137,0.2369846001051593,5.3935992019429495,15.670202358963362,0,10,10.0,100.0,,
135,272,27.8217,0.23272442824376838,5.501270467106619,15.894525839019787,0,10,10.0,100.0,,
136,202,27.7123,0.22308256424909007,5.738839850446775,16.44620481910277,0,10,8.0,80.0,2.0,20.0
137,200,27.319899999999997,0.24444553135800873,6.153551450403867,17.25901444726701,0,10,9.0,90.0,1.0,10.0
138,168,27.296299999999995,0.23699333471433875,6.2645981420994215,17.468200472762966,0,10,8.0,80.0,2.0,20.0
139,10,27.215599999999995,0.24823350420837081,6.294650605114585,17.541212756688445,0,10,8.0,80.0,2.0,20.0
140,194,26.992699999999996,0.22432045699315903,5.326728124828888,15.652182632802697,0,10,8.0,80.0,2.0,20.0
141,229,26.955900000000007,0.2819311300567107,6.863675998166438,18.666356184897005,0,10,10.0,100.0,,
142,296,26.8149,0.21086842562119448,5.319920762248467,15.55684632452844,0,10,9.0,90.0,1.0,10.0
143,235,26.630499999999994,0.24200884803986486,5.600144730862164,16.191703813078266,0,10,8.0,80.0,2.0,20.0
144,267,26.411099999999998,0.27139768271488596,5.291928508818896,15.53576856409706,0,10,7.0,70.0,3.0,30.0
145,182,26.100300000000004,0.24529389675524538,5.453057091644859,15.906063214842195,0,10,9.0,90.0,1.0,10.0
146,195,25.944200000000002,0.2825384151405691,6.489414276474967,17.833062639660003,0,10,8.0,80.0,2.0,20.0
147,285,25.8918,0.29171662308853197,6.280705088975532,17.31458282487995,0,10,7.0,70.0,3.0,30.0
148,169,25.5964,0.26065530327659564,5.449042557597098,15.89558998959797,0,10,9.0,90.0,1.0,10.0
149,66,25.552000000000003,0.3026969685268684,5.972825019185168,16.862654838401845,0,10,9.0,90.0,1.0,10.0
150,96,25.45445418357849,0.29255979075989175,5.738066036477099,16.467546424308132,0,10,9.0,90.0,1.0,10.0
151,78,25.3742,0.2876505980393539,5.931330936493401,16.615834519915687,0,10,7.0,70.0,3.0,30.0
152,64,25.345000000000002,0.24232085738104928,5.840550386254604,16.59810557254071,0,10,9.0,90.0,1.0,10.0
153,159,25.2408,0.28407166241037907,6.033294919326087,16.920823925362242,0,10,7.0,70.0,3.0,30.0
154,39,25.219900000000003,0.28827133564393825,5.988932910267098,16.76698518154077,0,10,9.0,90.0,1.0,10.0
155,87,25.073099999999997,0.27544261006339804,5.4701390008891995,15.93169235313234,0,10,10.0,100.0,,
156,185,24.85739999999999,0.2502962621026218,5.409218442043636,15.800164893732845,0,10,10.0,100.0,,
157,82,24.632900000000003,0.28601845683539884,6.546728093886432,17.916329586977945,0,10,9.0,90.0,1.0,10.0
158,210,24.061699999999995,0.3044048268746081,6.458685202333497,17.911217569574376,0,10,9.0,90.0,1.0,10.0
159,254,24.045400000000004,0.2433697642141738,5.373718196874245,15.699347940207762,0,10,9.0,90.0,1.0,10.0
160,175,23.9431,0.24997931701879184,5.492474295152569,15.953473708514357,0,10,10.0,100.0,,
161,234,23.931600000000003,0.26124771648277406,5.628586267105862,16.22569765242094,0,10,10.0,100.0,,
162,103,23.809599999999996,0.30473063584858073,6.49925174365781,17.91550828734713,0,10,9.0,90.0,1.0,10.0
163,29,23.5026,0.29843866085209214,5.539094614722885,16.01020625961673,0,10,9.0,90.0,1.0,10.0
164,282,23.3543,0.2919851536289352,5.714850490456634,16.182873627842156,0,10,8.0,80.0,2.0,20.0
165,110,23.312500000000004,0.2800549818960839,5.29225625653674,15.56986451615038,0,10,9.0,90.0,1.0,10.0
166,178,23.174299999999995,0.287918843852645,5.867798808354253,16.589831703418575,0,10,10.0,100.0,,
167,143,23.033900000000003,0.28894320565427173,5.3139384667308684,15.566881122025858,0,10,8.0,80.0,2.0,20.0
168,139,22.8303,0.3110941289830488,5.268053450788266,15.488018448035806,0,10,10.0,100.0,,
169,149,22.5297,0.29338853120192565,5.833223754881191,16.624268327177727,0,10,10.0,100.0,,
170,220,22.5297,0.2739133575671221,5.636851155097818,16.1567062652731,0,10,9.0,90.0,1.0,10.0
171,174,22.5096,0.30560738412685007,5.390761634635317,15.739344086685978,0,10,10.0,100.0,,
172,122,22.358900000000002,0.3190717513065556,5.822829897019005,16.53764469884456,0,10,8.0,80.0,2.0,20.0
173,5,22.248100000000004,0.2944253310547284,5.415840690587748,15.825528546082873,0,10,9.0,90.0,1.0,10.0
174,256,22.041399999999996,0.2738596773778337,5.268548101697198,15.528510554748332,0,10,9.0,90.0,1.0,10.0
175,271,21.9969,0.2503634034039332,5.445015365735889,15.744264818181847,0,10,10.0,100.0,,
176,148,21.9672,0.3361998076263628,5.910697862663041,16.713380630132633,0,10,10.0,100.0,,
177,249,21.9105,0.28654989608025394,5.2837423052221695,15.540795404695029,0,10,9.0,90.0,1.0,10.0
178,69,21.8437,0.2870088339905717,5.81163205658256,16.591789231374342,0,10,9.0,90.0,1.0,10.0
179,140,21.7498,0.34002888797894354,6.585039774907626,18.16149390116919,0,10,10.0,100.0,,
180,95,21.698560762405396,0.38050950543627754,7.272721109329621,19.298614865588128,0,10,9.0,90.0,1.0,10.0
181,275,21.616799999999998,0.3015908547705429,5.836832919237748,16.605682868646458,0,10,9.0,90.0,1.0,10.0
182,171,21.594299999999997,0.3112841503019946,5.556357567182858,15.966949221075788,0,10,9.0,90.0,1.0,10.0
183,101,21.430100000000007,0.2688635077680116,5.567695986088667,16.08730351863661,0,10,10.0,100.0,,
184,260,21.2786,0.2989640734029837,5.517848713558458,15.824816788123488,0,10,9.0,90.0,1.0,10.0
185,67,20.8896,0.33310814839464886,5.63761624882028,16.275181529193038,0,10,8.0,80.0,2.0,20.0
186,94,20.562199999999997,0.30308907167461197,5.383246363904563,15.748220737454696,0,10,9.0,90.0,1.0,10.0
187,31,20.323200000000007,0.3473781534255455,6.670644116761162,18.335135398429706,0,10,10.0,100.0,,
188,9,20.234500000000004,0.3071066983005202,5.429287381691937,15.810486309843148,0,10,9.0,90.0,1.0,10.0
189,281,20.193199999999997,0.331026902709732,5.254351685564906,15.506208245533589,0,10,9.0,90.0,1.0,10.0
190,244,20.119799999999998,0.3441804869737592,5.8649173819029565,16.552708163010998,0,10,9.0,90.0,1.0,10.0
191,77,20.053000000000004,0.3028761605371721,5.44741012355358,15.717693646312238,0,10,9.0,90.0,1.0,10.0
192,52,19.947499999999998,0.3471794522784429,6.551208939806598,17.817652106104028,0,10,10.0,100.0,,
193,11,19.860799999999994,0.3422346651235054,5.71528325374746,16.32255141230147,0,10,9.0,90.0,1.0,10.0
194,205,19.8192,0.28904876692156795,5.645301173053423,16.282016697460783,0,10,10.0,100.0,,
195,158,19.419400000000003,0.3335015495776782,5.739138432750655,16.370261770307856,0,10,9.0,90.0,1.0,10.0
196,12,19.030700000000003,0.3668550226772579,5.706098830227364,16.329202460486236,0,10,8.0,80.0,2.0,20.0
197,63,19.0196,0.3150347496044491,5.666180317120121,16.28427218069951,0,10,10.0,100.0,,
198,68,18.872400000000003,0.3156917877449639,5.581234681152027,15.985342761509136,0,10,10.0,100.0,,
199,227,18.867599999999996,0.29018127373168556,5.157545711355375,15.31259629711453,0,10,10.0,100.0,,
200,146,18.7661,0.33610669709352675,5.534867803628336,16.069684638809143,0,10,10.0,100.0,,
