rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
74,150,37.493199999999995,0.22503967567353347,7.973092676548481,10.946236321544488,55.00000000000001,20,8.0,40.0,1.0,5.0,11.0,55.00000000000001
75,285,37.375800000000005,0.21061243964285703,8.657291412439974,12.561410177951066,50.0,20,9.0,45.0,1.0,5.0,10.0,50.0
76,164,37.130700000000004,0.21735468102517475,8.222543997037087,11.590853907364103,45.0,20,11.0,55.00000000000001,,,9.0,45.0
77,46,36.4534,0.21629748634864682,8.12877661155094,11.258826839956958,45.0,20,11.0,55.00000000000001,,,9.0,45.0
78,116,35.80550000000001,0.2220571848579392,8.263270357397582,11.773368067866281,45.0,20,11.0,55.00000000000001,,,9.0,45.0
79,153,34.65260000000001,0.2286520371144797,7.951241205135581,11.010497505464619,50.0,20,9.0,45.0,1.0,5.0,10.0,50.0
80,14,32.588100000000004,0.2593927357185111,8.086238508844371,11.178629852781365,60.0,20,7.0,35.0,1.0,5.0,12.0,60.0
81,239,30.675900000000002,0.2589687446061962,7.921944131516237,11.021014863827395,55.00000000000001,20,8.0,40.0,1.0,5.0,11.0,55.00000000000001
82,273,29.477299999999996,0.2729880709680886,8.165814212170684,11.340214072987429,55.00000000000001,20,7.0,35.0,2.0,10.0,11.0,55.00000000000001
83,270,29.249800000000004,0.2682138039435219,8.015802801577198,11.122613628972626,60.0,20,5.0,25.0,3.0,15.0,12.0,60.0
84,93,27.694700000000005,0.29059608840962914,8.737123788614074,12.59124362215069,65.0,20,7.0,35.0,,,13.0,65.0
85,277,27.4326,0.275,8.48636998300088,11.974013582856845,55.00000000000001,20,7.0,35.0,2.0,10.0,11.0,55.00000000000001
86,145,27.216599999999993,0.28094032867685287,8.15255693907889,11.629611059304816,65.0,20,6.0,30.0,1.0,5.0,13.0,65.0
87,10,27.152600000000007,0.275,8.77060637834422,12.58930121022917,55.00000000000001,20,7.0,35.0,2.0,10.0,11.0,55.00000000000001
88,180,26.251599999999996,0.302141640586163,9.004770113090498,13.009591194628518,70.0,20,5.0,25.0,1.0,5.0,14.0,70.0
89,101,24.571099999999998,0.275,8.043651759318301,11.135391972177334,55.00000000000001,20,6.0,30.0,3.0,15.0,11.0,55.00000000000001
90,178,23.9506,0.3,8.294915851709286,11.735597616708507,60.0,20,8.0,40.0,,,12.0,60.0
91,83,22.8769,0.31474608649558317,8.267190471112066,11.535654559079212,65.0,20,5.0,25.0,2.0,10.0,13.0,65.0
92,210,22.8212,0.32558529815422876,8.955608784787188,12.917370404666993,70.0,20,5.0,25.0,1.0,5.0,14.0,70.0
93,216,22.5638,0.3,8.231413228723817,11.553834483265856,60.0,20,7.0,35.0,1.0,5.0,12.0,60.0
94,108,22.5165,0.30969521363159797,7.839549742510147,10.687685133666355,65.0,20,7.0,35.0,,,13.0,65.0
95,15,22.372300000000003,0.31253085454924473,8.183135858441508,11.45727974270124,65.0,20,6.0,30.0,1.0,5.0,13.0,65.0
96,111,21.524999999999995,0.3121714561343006,8.005659507313517,11.025967011550136,65.0,20,6.0,30.0,1.0,5.0,13.0,65.0
97,132,20.444300000000005,0.34053872887505665,9.489190949419598,14.114260388622522,70.0,20,6.0,30.0,,,14.0,70.0
98,237,20.167700000000004,0.3235940509342278,8.147969549626215,11.47306570004734,65.0,20,7.0,35.0,,,13.0,65.0
99,190,19.468600000000002,0.3480642653637372,8.293077654616786,11.69417040442703,70.0,20,6.0,30.0,,,14.0,70.0
100,118,19.228100000000005,0.35591652698581056,8.286531889905213,11.591335770164855,80.0,20,2.0,10.0,2.0,10.0,16.0,80.0
101,20,19.009299999999996,0.325,8.748223030535538,12.781211834580239,65.0,20,7.0,35.0,,,13.0,65.0
102,113,18.918200000000002,0.3426883841631562,8.19347516756337,11.671716108635907,75.0,20,4.0,20.0,1.0,5.0,15.0,75.0
103,255,18.8992,0.35721610930546394,8.135994185598864,11.417754284487664,80.0,20,3.0,15.0,1.0,5.0,16.0,80.0
104,187,18.4497,0.34771896492200316,8.204891659007183,11.424431314937461,75.0,20,5.0,25.0,,,15.0,75.0
105,176,18.307499999999997,0.3455130962235491,8.04552564789675,11.415548476940549,70.0,20,4.0,20.0,2.0,10.0,14.0,70.0
106,189,18.0691,0.325,7.958318166192763,11.007644358203754,65.0,20,6.0,30.0,1.0,5.0,13.0,65.0
107,58,17.923499999999997,0.33748630701197724,8.561860718112822,12.150410641974954,70.0,20,6.0,30.0,,,14.0,70.0
108,134,17.665100000000002,0.33986374416082565,8.903085477451352,13.13066813604974,70.0,20,5.0,25.0,1.0,5.0,14.0,70.0
109,141,17.338400000000014,0.3383431753602391,7.942081561496046,10.885436739847165,75.0,20,5.0,25.0,,,15.0,75.0
110,272,17.0708,0.325,7.947262919509891,11.002540934213238,65.0,20,6.0,30.0,1.0,5.0,13.0,65.0
111,250,16.670199999999998,0.35,8.084153480751175,11.229302772938217,70.0,20,6.0,30.0,,,14.0,70.0
112,133,16.518800000000002,0.35582455260434254,8.239301258889828,11.539598329215526,75.0,20,5.0,25.0,,,15.0,75.0
113,171,16.0329,0.4271794468915549,7.9834746105378915,11.112715134365716,90.0,20,1.0,5.0,1.0,5.0,18.0,90.0
114,9,15.971800000000002,0.325,7.905243154921574,10.858574763383874,65.0,20,7.0,35.0,,,13.0,65.0
115,105,15.704299999999998,0.38337083967235486,8.212060772852059,11.442393536058548,80.0,20,4.0,20.0,,,16.0,80.0
116,109,15.645599999999996,0.35,8.324773821860362,11.67623684947003,70.0,20,6.0,30.0,,,14.0,70.0
117,96,15.360400000000002,0.35,8.233773212154066,11.476132072954194,70.0,20,6.0,30.0,,,14.0,70.0
118,154,15.106300000000005,0.35,7.898906121797545,10.845900697135814,70.0,20,6.0,30.0,,,14.0,70.0
119,213,15.051499999999995,0.3814284257736405,8.080583152791007,11.33829290637693,80.0,20,4.0,20.0,,,16.0,80.0
